"Vertical";"SubTipo";"Marca";"Nombre"
"Supermercado";"Otros alimentos";"Dicomere";"Harina De Trigo Integral Orgánica Dicomere 4x1!!"
"Supermercado";"Otros alimentos";"Dicomere";"Harina De Coco Dicomere 200g 4x1!!!"
"Bananero";"El Bananero";"Japi";"Salsa Picante El Bananero Terapia Picante 270ml"
"Bodega";"Bodega";"Fuego Blanco";"Vino Fuego Blanco Valle Del Silex Malbec 750ml"
"Supermercado";"Otros alimentos";"Margarita";"Espumante Margarita Para Los Chanchos Malbec Rose Nat X3 Bot"
"Bodega";"Bodega";"Malcriado";"Vino Malcriado Mosquita Muerta Wines Caja X3 750ml"
"Bodega";"Bodega";"Fuego Blanco";"Vino Fuego Blanco Cabernet Franc-malbec 750 Ml"
"Bodega";"Bodega";"Flintstone";"Vino Fuego Blanco Cabernet Franc Flinstone 750ml"
"Bodega";"Bodega";"Flintstone";"Vino Fuego Blanco Flintstone Malbec 750ml"
"Suplementos";"Vitaminas y Salud";"Leguilab";"Leguilab Bisglicinato De Hierro 60 Cápsulas Neutro Neutro"
"Suplementos";"Vitaminas y Salud";"Leguilab";"Bisglicinato De Cobre Leguilab 60 Caps Neutro Neutro"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Labs Nutrition Moringa Sin Sabor Suplemento Calcio Antioxidante 60 Cápsulas"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Labs Nutrition Testo Up 60 Comp. Sin Sabor Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Labs Nutrition Superóxido Dismutasa 1000mg 60 Cáps Sin Sabor"
"Suplementos";"Quemadores";"Labs Nutrition";"Labs Nutrition Organic Detox 60 Caps. Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Suplemento En Cápsulas Labs Nutrition Gluconato De Zinc X 60g Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Cápsulas Melena León 500mg Labs Nutrition Digestivo 60c Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Selenio Orgánico Sin Sabor 60 Cápsulas Labs Nutrition"
"Suplementos";"Quemadores";"Labs Nutrition";"Bloqueador De Carbohidratos Labs Nutrition Faseolamina 60c Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Acido Fólico Labs Nutrition - Vitamina B9 (60 Capsulas) Sin Sabor"
"Suplementos";"Quemadores";"Granger";"Pancake Keto Granger Chocolate 200g"
"Bananero";"El Bananero";"Japi";"Papas Fritas Picantes El Bananero 60g Terapia Picante"
"Hogar";"Climatización";"Ultracomb";"Ultracomb Fr 8619 Freidora De Aire 9l Digital 1800w Negro"
